"The story is amazing for starters. The acting is top notch, the story telling is awesome and the overall show is wild fun.",story telling/story/starters/top notch/wild fun
the mistrey,mistrey
Comparing the original version to the new version,original version/new version/comparing/version/comparing the original
It's storyline. The show is very right for today. Culturuly. It touches on alot of topics that are taboo,storyline/culturuly/today/show/right
"i like the thriller of it , the plots i can't wait to see how it pans out and the hero's that make the show",wait/hero/show/wait to see/make the show
"I enjoyed the futuristic story lines, AI, Characters in all 3 seasons, but season 3 is too complex.",futuristic story lines/story lines/futuristic story/characters/lines
the cast in the show & the overall storylines/concept draws me into this show. This is a storyline that i feel like we will be living in the not to distant future,overall storylines/concept draws/show/storylines/concept
i like the story,story/like the story/like
nudity,nudity
"The writing is great. When this show originally aired I felt as though it hit a new exciting way to portray the future and the possibilities of a fully human-like AI. And one my favorite parts is how they incorporate the songs (for example, Paint it Black) into the soundtrack to the show, but played on an old time piano, or the background music to a scene. It’s so clever and once I picked it up it’s something I look forward to every episode.",show originally aired/new exciting way/great/old time piano/fully human
"DescriptionWestworld isn't your typical amusement park. Intended for rich vacationers, the futuristic park -- which is looked after by robotic ""hosts"" --",typical amusement park/typical amusement/amusement park/park/descriptionwestworld
"It's characters and story telling are great. I love the manipulation of time in the first season, and the changing perspectives of the characters as they become more aware",story telling/great/first season/characters/telling are great
I like that the current season is more futuristic. I like that the storylines are complex.,current season/like/futuristic/current/season
BEST AND SO,best
it is just such a great break from my reality,great break/reality/great/break
Friends talk about the show and it makes me want to watch to see what all the fascination is about.,friends talk/want to watch/friends/talk/show
The plotline is one that I've never encountered.,never encountered/never/encountered/plotline/one
A different storylines and different characters,different characters/different storylines/characters/storylines and different/different
it is very good i like it very much,good/much/like
It’s definitely different and not like any other shows.,definitely different/definitely/shows/different/like
"Unpredictable plot line, evolution and growth of characters, interesting",unpredictable plot line/interesting/unpredictable plot/plot line/unpredictable
i like the story and character,character/story and character/like/story/like the story
Season 1 was good but season 2 became too much,much/season/became too much/good/became
Sci-fi and my love for westerns,sci/westerns/love for westerns/love
It is different,different
It’s interesting and different,interesting/different/interesting and different
The artificial intelligence surrounding the plot and also the genius behind the director as well as story line.,artificial intelligence surrounding/story line/artificial intelligence/intelligence surrounding/also the genius
I can’t remember,remember
The depth of the characters and the intriguing of the future civilization,future civilization/civilization/depth/characters/intriguing
this is an awesome show and i love it,awesome show/awesome/show/love
Call my phone and call my number one phone call my number number again call my phone call my name number is so call my number call call my phone call call my call number call call my phone number is and call call me back I wanna was the day I wanna was the time,call/call call/number/phone call/one phone call
None,none
knowing that some day this will be a reality,knowing/reality/day
I enjoy sci fi and west world fits that genre well with good characters and plot,west world fits/enjoy sci/west world/world fits/genre well
It so different from any other show I've watched. The characters are so interesting and to see the AI characters making their own decisions is disturbing and scary.,watched/different/show/characters/scary
No comment was made about the concept of the fact that it has a lot of redeeming features,redeeming features/features/comment/made/concept
The drama is outstanding.,outstanding/drama is outstanding/drama
The wonderful story line,wonderful story line/story line/wonderful story/line/wonderful
I enjoyed season 1 and season 2 and plan to watch season 3 completely as soon as my spouse catches up,completely as soon/spouse catches/enjoyed season/watch season/season
the story is always crazy and keeps you on your feet,always crazy/feet/story/always/crazy
I liked the original movie that it is based on,original movie/liked/original/movie/based
it is always new and thrilling,always new/thrilling/new and thrilling/always/new
i love the characters and the storyline. it always keeps me on the edge,love the characters/storyline/love/characters/always keeps
I LOVE THE DIFFERENT STORYLINES AND THE ACTORS,different storylines/actors/love/different/storylines
Its such a wild fantasy that was put in to a good cinema,good cinema/wild fantasy/cinema/wild/fantasy
The idea of it is interesting .,interesting/idea
It is a genre that I enjoy. It is suspenseful and has you very immersed in the shoe,enjoy/genre/shoe/suspenseful/immersed
The opening song and images because it depicts a futuristic ability which indicates the shows contents.,shows contents/opening song/futuristic ability/contents/opening
"it is the best current show, the best theme, impeccable performance, I love science fiction",love science fiction/best current show/impeccable performance/current show/science fiction
the acting is really great and feels real and the story and world they live in is pretty wild and I love to see the future,really great/great and feels/feels real/pretty wild/future
"I like the complexity of the show, the imagination of the writers.",like the complexity/show/writers/like/complexity
The storyline of Westworld draws me to watch more episodes.,westworld draws/westworld/episodes/storyline of westworld/watch more episodes
I stopped watching the show after season one so this question has no answer.,season one/stopped watching/one/stopped/watching
scifi,scifi
excitement band different,excitement band different/excitement band/band different/excitement/different
friends recommendation,friends recommendation/friends/recommendation
"This show is well acted, has beautiful scenery, some good special effects, a convoluted story line, with twists. This series involves some of the most talented writers and actors of our generation.",good special effects/convoluted story line/well acted/beautiful scenery/special effects
the action scenes and the story,action scenes/story/action/scenes
I haven't watched it in a few seasons so I'm not sure,watched/seasons/sure
I love the storyline. It's stupendous and wonderful,storyline/love the storyline/love/stupendous/wonderful
the staring cast and the story lines,story lines/staring cast/lines/staring/cast
Mostly the production value and the music,production value/mostly/music/mostly the production/production
Is unique and unlike anythign else on television,unlike anythign else/unlike anythign/anythign else/television/else on television
Season 3 is nothing like the first two and I am almost ready to stop watching the show,nothing like/first two/almost ready/stop watching/season
Nothing,nothing
I like that it takes place in a unique world that lets me get away and get involved into the characters lives and stories.,takes place/unique world/characters lives/get away/get involved
I enjoy the plot twists and puzzles,plot twists/puzzles/twists and puzzles/enjoy/plot
The music fitting the scenes,music fitting/scenes/fitting the scenes/music/fitting
"I love the detail of the show, it puts me in suspense.",love the detail/show/suspense/love/detail
My friends are talking about it. Seems interesting as to what the “robots” will do next after getting out but I’m not a big fan of si-fi don’t watch it enough to keep up,robots/friends/talking/seems interesting/friends are talking
I enjoy that there are always twists and turns. Thandie Newtons character is amazing. She is strong and determined.,always twists/thandie newtons character/thandie newtons/turns/newtons character
It really intrigues me. I like following the characters and story line.,really intrigues/really/intrigues/story line/line
I like the characters and the actors who play them,like the characters/like/characters/actors/play
I like shows that intentiobally cibfuse and make you think,like shows/intentiobally cibfuse/think/make you think/like
The characters of the show draws me in and the scenery of the show,show draws/show/characters/draws/scenery
Very thought provoking and unlike anything else on tv,unlike anything else/thought provoking/unlike anything/anything else/thought
Nothing,nothing
The idea of technology advancing beyond its program and the dangers it can result in,technology advancing beyond/technology advancing/advancing beyond/idea/technology
How it’s so unlike anything else I’ve seen.,unlike anything else/seen/unlike anything/anything else/unlike
"The excellent acting, the writing and dialogue, and the characters. Also the exploration of themes like big data and privacy, which are super relevant now.",excellent acting/themes like big/like big data/acting/dialogue
its to good and i like it very much,good/much/like
it has some really interesting perspectives and ideas that they explore in cool and interesting ways.,really interesting perspectives/interesting ways/really interesting/interesting perspectives/cool and interesting
It has a good story line but was too slow for me,good story line/good story/story line/good/story
is good,good
Its all good,good
"Great acting and thrilling, interesting plots",interesting plots/great acting/great/thrilling/interesting
nothing I found it odd and confusing a stopped watching it,stopped watching/nothing/found/odd/confusing
"The mix of genres is interesting, there really is nothing like Westworld, it is uniquely its own show",nothing like westworld/like westworld/nothing like/westworld/interesting
The unexpected storylines,unexpected storylines/storylines/unexpected
I think the main thing that drives me to watch Westworld is trying to figure out who is human and who is a robot. I do like seeing high profile actors in the show. I do like the visuals a lot.,watch westworld/main thing/westworld/robot/westworld is trying
charaters,charaters
The cast and technology concept of the show,technology concept/show/cast/technology/concept
I think it would be the complex story line and plot but I couldn't really get into it because I thought season one was boring and confusing,complex story line/complex story/story line/thought season one/plot
It is from a brand that produces high quality entertaining shows,quality entertaining shows/produces high quality/high quality entertaining/entertaining shows/produces high
The exploration of AI and big data in a futuristic setting,futuristic setting/big data/setting/exploration/big
enjoyed first 2 season but now that they are in the real world its not as interesting.,enjoyed first/real world/enjoyed/interesting/first
i have only started the series and am in season one,season one/one/started/series/season
I love the storylines and all the twists and turns. Also the violence and action keeps you emgaged,turns/twists and turns/love/storylines/twists
The multiple story lines,multiple story lines/story lines/multiple story/lines/multiple
The concept of the show. And the acting of the cast is what makes me want to watch it. It's a very good show.,show/good show/concept/acting/cast
The characters and what it is about,characters
The graphics and effects are awesome but the storyline is just straight up ridiculous,ridiculous/straight up ridiculous/graphics/effects/awesome
It’s a good movie,good movie/movie/good
It’s got very intriguing story writing that keeps you attentive. I also love all the futuristic aspects to it.,intriguing story writing/intriguing story/story writing/got/attentive
all of it really good.,really good/good/really
Great story lines and character development. Always curious about what's next.,great story lines/great story/character development/story lines/next
I really love sci-fi shows,really love sci/love sci/really love/sci/shows
Just really interesting characters. Dolores specifically is a very unique character with motivations that keep the show engaging,really interesting characters/interesting characters/really interesting/characters/really
I loved the first two seasons and I want to see where season three leads,season three leads/first two seasons/three leads/first two/two seasons
mone,mone
The writing is excellent,excellent/writing is excellent/writing
I like the premise of the show being futuristic and the action involved,action involved/like the premise/involved/like/premise
Not knowing what is real or fake,fake/real or fake/knowing/real
Perfect,perfect
od when you Live Well]? Please write down the,live well/well/live/please write/please
I like the characters and the stories,like the characters/stories/like/characters
Good acting. This year it is difficult to follow,good acting/good/acting/follow/year
Its a new and unique concept for a show. The writing and acting make it a good show.,unique concept/good show/show/new/unique
It is a show unlike any other I've seen and people talk about it. Also fun to explore the theories people have on each week's episode,show unlike/people talk/seen/episode/people
I really like the unique storylines as well as the acting.,really like/unique storylines/storylines as well/acting/really
This is a show that is not like any other show on television. It keeps me on my toes and I'm always waiting for a plot twist. It challenges it's viewers to think beyond.,show/television/like/show on television/always waiting
well written story that's different than other series I have watched.,well written story/well written/written story/well/different
I like the characters in the show and want to see more of the role they play.,like the characters/play/role they play/like/characters
The only thing that would make me think it's a good show is that it's on HBO and I usually like their shows.,would make/good show/hbo/thing/would
"its different , the stories inside the story",stories inside/different/story/inside the story/stories
"Watched original from years ago. Like seeing how AI can be good or bad. ...mostly bad, hope public wakes up.",watched original/years ago/watched/ago/bad
anything,anything
It is beautifully scripted,beautifully scripted/scripted/beautifully
I REALLY LOVE ALL OF THE ACTORS AND ACTRESSES ;),really/love/actresses/actors/actors and actresses
not sure,sure
"I began watching the show because I love the acting style of Anthony Hopkins. I kept watching the show because I am drawn to shows that have mystery, intrigue, twisting story lines, and characters that I can root for.",anthony hopkins/acting style/began watching/twisting story lines/hopkins
"I am into West World because I was a big fan of the 70s moving starring Yul Brenner , and I'm definitely interested in this season because they are including a lot of futuristic gadgets.",starring yul brenner/moving starring yul/70s moving starring/yul brenner/west world
This show keeps my guessing every second that I watch it. I'm always on the edge of my seat when watching this show.,guessing every second/guessing every/every second/show keeps/show
i like the new concept for serie,new concept/serie/concept for serie/like/new
"The show does a great job of character development. Each episode builds upon the other, revealing bit by bit their motivations, fears, and thought process in a seamless fashion.",character development/great job/development/fears/show
"the characters, the actors and the places where the story takes place",story takes place/takes place/story takes/characters/place
"it holds your attention, it is something you wait to watch, it is something you can talk to others that watch about",something/attention/watch/holds your attention/holds
i love the dramatic setting,dramatic setting/setting/love/dramatic/love the dramatic
I love the future of technology and how AI is taking over just like some people are warning us about now,love/future/technology/taking/like
Everything,everything
I heard my mom talk about it and it caught my interest,mom talk/interest/caught my interest/heard/mom
I just really like the futuristic aspect of the show,really like/futuristic aspect/show/really/like
the acting and storyline,storyline/acting and storyline/acting
The overall content,overall content/content/overall
Great acting,great acting/great/acting
The quality of the show and storyline,storyline/show and storyline/quality/show
I enjoy sci fi and AI. This show is very interesting to me,enjoy sci/enjoy/sci/show/interesting
the characters are well selected. They can act and i feel engaged with the storyline,well selected/selected/characters/well/characters are well
perspectives of both the androids and the humans is appealing to me. The plot twist will leave you wondering whats next.,perspectives/androids/humans/appealing/plot twist
love this series,love/series/love this series
"The acting, the writing, and I love that it makes you pay attention and think.",pay attention/acting/writing/think/attention and think
Nothing,nothing
i love the characters in the movire,love the characters/movire/love/characters
It has a thrilling and dramatic storyline that is unique and is never predictable.,never predictable/dramatic storyline/predictable/thrilling/dramatic
"It is very confusing, overall, but trying to figure it out is interesting. It is a bit like the show Lost in that way. I like the idea of AI and especially the character of Dolores.",overall/show lost/confusing/interesting/trying
Proragonist and Antagonist co frontation,antagonist/proragonist/frontation/proragonist and antagonist/antagonist co frontation
Unique ness,unique ness/unique/ness
"It is unique, grasping, intelligent, interesting, with a lot of twists and turns",grasping/intelligent/interesting/unique/turns
It's a surprise at every turn. You're not sure whose right and who's wrong,every turn/wrong/turn/surprise/every
Aaron Paul is what made me watch it in the first place. I like the story lines that makes the show interesting every week.,aaron paul/first place/interesting every week/paul/show interesting every
You don't always know who is good or bad.,always know/always/bad/good or bad/know
"A lot of my friends watch this show, so I like that we can get together and talk about it.",friends watch/get together/show/watch this show/lot
I watched the original Westworld in the seventies. I like seeing the updated and recreation of that brand. I like the premise of A.I or robots turning on humans. I like the setting of an amusement park where I think people become more entitled and self absorbed. It’s a very interesting setting to have artificial turn on humans. I like the unsettling nature of the show and the survival aspect. I kind of like the darkness of the stories.,original westworld/like/westworld/like seeing/seventies
I like the characters and the genre of the show that keeps me captivated snd want to watch,captivated snd want/like the characters/captivated snd/snd want/watch
I love the story line and the characters. It has a very interesting plot and my wife and i don't miss it every week,story line/characters/love/story/line
"i think it is a completly different narative than other shows i usually watch, i like the tech part of it",completly different narative/usually watch/completly different/different narative/tech part
Interesting concept,interesting concept/interesting/concept
Liked the original movie,original movie/liked/movie/liked the original/original
The combination of simple western storylines along with hi-tech artificial intelligence is great. Especially that the AI characters evolve. Their evolution takes place over time through multiple episodes.,tech artificial intelligence/simple western storylines/western storylines along/tech artificial/simple western
I think that the plot twists and the way that the show makes us wonder about may or not be real is very engaging. The show is also very well written and visually well shot. I think it is the most inventive show on television today.,plot twists/show makes/visually well shot/show/engaging
The character's,character
the importance of music and architecture in creating a world outside of ours,world outside/importance/music/architecture/creating
the concept of a place like this existing and what things may go wrong,place like/things may/wrong/may go wrong/concept
its good show,good show/show/good
yes westworld is the best,yes westworld/yes/best/westworld
"the cast and the plot itself, really intense",really intense/really/intense/cast/plot
"The cast and the storyline really makes this show a beauty in my eyes, the dialogue is pretty good as well",storyline really makes/storyline really/really makes/pretty good/eyes
The look into the possible future,possible future/future/look/possible
very different and unique storyline,unique storyline/storyline/different/unique/different and unique
The characters,characters
this show story is very nice,show story/nice/show/story
its strong writing...detailed creativity about their world...interwolved storylines,strong writing/writing/interwolved storylines/strong/detailed creativity
"I really like the story line of the episodes, the acting is outstanding also",outstanding also/really like/story line/episodes/also
I’ve always followed Jeffrey Wright’s selective career. I knew this would be a good show if he were involved.,followed jeffrey wright/always followed jeffrey/jeffrey wright/selective career/followed jeffrey
with an impressive level of quality,impressive level/quality/level of quality/impressive/level
"The great acting and writing, and the amazing stories lines.",amazing stories lines/stories lines/great acting/amazing stories/writing
Good writing and acting,good writing/good/acting/writing and acting/writing
It’s dark and exhilarating,dark/exhilarating/dark and exhilarating
"I love the unpredictability of it, and the thought provoking questions. I also love the gray characters, and how you can sympothize with many people doing bad",thought provoking questions/provoking questions/thought provoking/questions/also love
I like that Westworld is a great show that has excellent cast that have me interested,great show/excellent cast/westworld/interested/like that westworld
yes show,yes show/yes/show
The acting and the storyline are both amazing,amazing/acting/storyline
Inn m love Ed Harris,harris/love ed harris/inn/love
It is cool to guess now which are the robots from westworld and which are the humans. It is full of twists and turns and I love that.,humans/cool/guess/robots/westworld
It seems futuristic to me. Like mysterious and new. Which is pretty cliche but nonetheless they seem to take a different angle with it.,seems futuristic/like mysterious/seems/futuristic/like
The fact that it’s a deeply intellectual show that has lots of twists and plot depth,deeply intellectual show/plot depth/deeply intellectual/intellectual show/depth
Just started it a few weeks back on the recommendation of friends. I've liked it so far,weeks back/friends/recommendation of friends/started/weeks
"I love the characters, the plot and the twist. JJ Abrams is always great",characters/twist/always great/love the characters/love
it is awesome godo acting and good story,awesome godo acting/good story/awesome godo/godo acting/story
"The futuristic aspects, nothing like it in TV",futuristic aspects/nothing like/aspects/nothing/futuristic
"The acting is great, the twists are subtle, yet really eye opening",yet really eye/really eye opening/yet really/eye opening/really eye
Its a great show with a great cast.,great cast/great show/cast/great/show
Great,great
It is just my type of genre.,genre/type of genre/type
i want to see more about the new episode with every character,every character/new episode/character/want/see
"The interesting storyline. When you first watch it, you don't really know what it is about, but if you keep on watching it, you'll start to see what the show is about.",interesting storyline/storyline/really know/first watch/interesting
I think it’s a great adaptation and evolution of an interesting film.,interesting film/great adaptation/film/think/great
The twist and turns of the show .. never know whats going to happen from one show to the next.. always makes you wonder WHATS NEXT,wonder whats next/never know/whats next/one show/next
great,great
It's like a video game with no rules and it draws you into playing along with it all and the fact that it taxes your brain in trying to figure out what is going on from one episode to the next.,video game/playing along/one episode/like/next
It really makes you think about is this something that could happen in the future with the technology that we develop,really makes/could happen/develop/really/makes
I love the Sci fi and how there is so many plot twists interesting story and pretty easy for me to follow!,many plot twists/plot twists interesting/twists interesting story/many plot/plot twists
Robotics,robotics
"It succeeded in rebooting itself by broadening the scope beyond titular amusement park while tightening its storytelling with clarity, I feel like that the soul has been stripped from this machine in the process and shown on the screen.",scope beyond titular/beyond titular amusement/titular amusement park/scope beyond/beyond titular
All HBO series are great,hbo series/hbo/great/series are great/series
"Different, thought provoking, intense!",thought provoking/different/intense/thought/provoking
I don’t know or not sure,know/sure
It is very fun and entertaining to watch,watch/entertaining to watch/fun/entertaining/fun and entertaining
I like the storyline. It has very good actors and it is engaging to watch,storyline/like the storyline/like/good actors/watch
"The twists and ends the action and stuff, my friend made it seem boring but it’s sculpt a wooly good laugh and a *&@!# of a show man",seem boring/friend made/stuff/boring/wooly good laugh
the tense and the action,action/tense
The intrigue is complex and I really enjoy watching everyone's plans unfold (especially Maeve and Dolores). The acting is quite good and I'm invested in the characters emotionally. I also like pondering the high concept sci-fi plots and learning more about the world and how it works with all the technology available in it.,enjoy watching everyone/really enjoy watching/especially maeve/plans unfold/watching everyone
The acting,acting
not sure,sure
its all depends,depends
Complex plots and characterization,complex plots/complex/characterization/plots and characterization/plots
i am not sure,sure
I think it’s well written and acted. I love that the storyline isn’t obvious and makes you want to find out more.,well written/think/well/acted/obvious
THE CONCEPT ITSELF IS INTERESTING BUT THE FIRST SEASON WAS REALLY HARD TO FOLLOW WHICH IS WHY IAHVENT OCNTINUED IT. I LOVE COMPLEX SHOWS BUT I ALSO WOULD LIKE OT UNDERSTAND IT TOO,really hard/first season/concept/interesting/love complex shows
Nothing,nothing
"Its a very unique show, the script is amazing and it delivers a great atmosphere that it amazes the spectators",unique show/great atmosphere/show/spectators/amazes the spectators
It has so many interesting characters and good scenery,many interesting characters/good scenery/many interesting/scenery/many
"The dark and twisty aspects that blur the lines between fantasy and reality, not black and white but several shades of grey.",twisty aspects/several shades/reality/grey/fantasy and reality
I love the futuristic content. It is so well thought out,futuristic content/content/love/futuristic/love the futuristic
"I'm connected to the characters and the mysteries now, and I want to see how everything turns out.",everything turns/connected/characters/mysteries/want
it is too interesting each episode more intrigues and nerves occur. I love,nerves occur/occur/interesting/episode/intrigues
I’ve only watched 1 episode so I don’t feel like I’m really being fair by answering this,episode/feel like/watched/feel/really
it is a unique show,unique show/show/unique
The amazing storylines and the amazing acting is what really draws me in and it is what makes it a good show to watch,really draws/good show/amazing storylines/amazing acting/amazing
The writing on the show is some of the best writing on any show on television at the moment. I love the high production and the attention to detail. The acting on the show is also really good.,best writing/writing/show/moment/also really good
It’s a very unique show I don’t know anything else like it,unique show/know anything else/show/know anything/anything else like
Different than usual sci fi shows and makes an interesting concept to explore and feel different world experience,different world experience/feel different world/world experience/usual sci/interesting concept
Because it's interesting and thrilling,interesting/thrilling/interesting and thrilling
the sci fi action and the action and twists and turns,action and twists/action/turns/twists and turns/sci
The acting is amazing.,amazing/acting is amazing/acting
The intriguing plot and that it makes you think a lot,intriguing plot/lot/intriguing/plot/makes
A few people in my family were talking about it.,people/family/talking/family were talking
"Initially, I enjoyed the various story lines, particularly Bernard's story and Mae's - but, with time, it's become a bit convoluted. Too much back and forth going on between time periods.",particularly bernard/various story lines/bit convoluted/story lines/bernard
The acting is fantastic and the storyline has really interesting nuances,really interesting nuances/interesting nuances/really interesting/nuances/acting
I enjoy how it explores AI,enjoy/explores
The attention to detail and the fact they come back on little things you caught and didnt think they were as big as they turned out to be,come back/little things/attention/detail/fact
futuristic aspects,futuristic aspects/futuristic/aspects
It makes is very good about it.,makes/good
i don't particularly like the show,particularly like/particularly/show/like the show/like
I like the various settings and new story lines,new story lines/story lines/various settings/new story/lines
I don't know,know
It's an interesting commentary about technology and its future consequences,future consequences/interesting commentary/consequences/interesting/commentary
The original cast and the tie between Westworld hosts and real world people vacationing at Westworld. The show is incredibly well thought out which makes it great,real world people/world people vacationing/westworld hosts/original cast/real world
the plotline,plotline
This show is very graphic and detailed. It has an amazing storyline and a great line up of cast/characters.,detailed/characters/graphic and detailed/show/graphic
"Curiosity, but only in occasion.",curiosity/occasion
Robots philosophers,robots philosophers/robots/philosophers
"I love the drama, is about the dawn of artificial intelligence and the birth of a new form on life on earth",artificial intelligence/new form/form on life/drama/earth
the futuristic elements of the show,futuristic elements/show/futuristic/elements
action,action
futuristic,futuristic
everything it's like me,everything/like
"I like shows with complex characters and great twists and turns. This show is unique because of the androids, the park, and the creators.",like shows/complex characters/characters and great/great twists/turns
The writing is really good and the show overall has a lot of suspense and action,really good/show overall/action/suspense and action/writing
I like all of it.,like
It's an idea that is not seen before on tv,idea/seen
The futuristic and sci-fi aspect of this show make it a show worth viewing and cause my interest to peak.,show worth viewing/worth viewing/show make/show worth/sci
the fantasies that people go thru keeps the show interesting.,show interesting/thru keeps/interesting/fantasies/people
good acting,good acting/good/acting
I liked the first season...got lost the second season ...havent returned yet,first season/second season/got lost/returned yet/season
It’s absolutely my favorite show and I like it makes my day happy.,favorite show/absolutely/show/absolutely my favorite/favorite
Intense,intense
Love the sci-fi element. I am a big fan. Great cast. Wonderful writing,love/sci/element/love the sci/fan
"I totally lost interest in the show a long time ago so there is nothing that will make me want to watch it. The acting and the costumes were fine, as was the visual aspect.",long time ago/totally lost interest/time ago/totally lost/lost interest
The story telling is amazing. Each character is played well and it completely pulls you in and when the show ends you want more of it.,story telling/amazing/telling is amazing/story/telling
Nothing needs to change with the show,nothing needs/nothing/show/needs/change
Diverse cast,diverse cast/diverse/cast
I like all the different characters.,different characters/characters/like/different
I love robot rebellions.,love robot rebellions/robot rebellions/love robot/rebellions/love
The vast array of characters and their interaction,vast array/interaction/vast/array/characters
No,
The futuristic aspect draws me in the most. The overall storyline makes it a good show.,futuristic aspect draws/futuristic aspect/aspect draws/overall storyline makes/good show
"the first seasons is what drew me to the third season, but i like sci fi with high prod. quality in general",third season/high prod/first seasons/like sci/season
i'm a big fan of dystopian sci-fi dramas - there are intriguing elements to the program that remind me of Philip K *&@!#.,dystopian sci/big fan/intriguing elements/philip/sci
The mix of old West and futuristic,old west/west/futuristic/west and futuristic/mix
I am just interesting in seeing what happens after the park closes down and the relationships that form,park closes/form/relationships that form/interesting/seeing
It is so unique and complex. Unlike any other show I have ever watched.,complex/unique and complex/unique/ever watched/unlike
It's a very well written and acted show with an excellent storyline and plot,well written/acted show/excellent storyline/plot/storyline and plot
The intrigue. I want to know what is going to happen and the drama is great.,intrigue/great/want/know/going
It's very interesting Show,interesting show/show/interesting
excellent very positive,excellent/positive/excellent very positive
Everything draws me into the show.,everything draws/everything/show/draws
"The set design, costumes, cast, and storyline/writing. It it is the best show on television.",set design/costumes/cast/writing/design
Thrilling,thrilling
N/a,
"I was a big fan of the original, I'm a big fan of several of the stars. The show is written and acted wonderfully, with a topical and meaningful subplot that appeals to me.",big fan/fan of several/big/fan/original
I'm intirigued and also scared by the evolution of AI technology and how it will impact our lives both positively and negatively,also scared/intirigued/negatively/intirigued and also/positively and negatively
nothing all good,nothing/good/nothing all good
"If they can figure out the storylines for this season and what the point of this is because so far, it's a mess. I might give up.",far/mess/figure/storylines/season
Just fun to imagine a future like this.,future like/fun/imagine/future/like
The storyline theres always something new to look forward to.,always something new/always something/something new/new to look/look forward
Scifi is my favorite get,favorite get/scifi/get/favorite
It's good show,good show/good/show
The original concept - now it's less appealing,less appealing/original concept/concept/less/appealing
series and like to follow,series/follow/series and like/like to follow/like
