Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned
It looks nice but I don't really care what a card looks like. Probably very few people if honest care what cards look like.,looks nice/nice/like/looks/care,looks nice/like/care,few people/honest,few people/honest
Different unique,different unique/different/unique,different unique,different,different
looks like a nice card,looks like/nice card/looks/card/like,looks like/nice card,nice,nice
Nothing,nothing,nothing,,
I am not really a fan of the color but I do like the design overall. I just am not a fan of green for citi bank,color/fan/really/design overall/citi bank,color/fan/really/design overall/citi bank,citi bank/fan,citi bank/fan
Sleek simple,sleek simple/sleek/simple,sleek simple,sleek,sleek
Attractive,attractive,attractive,,
Its look like same,look like/look/like,look like,look,look
Looks ok,looks,looks,,
Very cool and appealing,appealing/cool and appealing/cool,cool and appealing,cool,cool
I think the green arch goes better with the dark green card color,green card color/arch goes better/green arch goes/dark green card/card color,green card color/arch goes better/green arch goes/dark green card,green card/green,green card
it is so beautiful and good,good/beautiful and good/beautiful,beautiful and good,beautiful,beautiful
just great,great,great,,
very nice,nice,nice,,
Such a nice and cool design as well as looks.,cool design/design as well/looks/well as looks/nice,cool design/design as well/well as looks/nice,cool design,cool design
Very likeable and stylish design,stylish design/design/likeable/stylish/likeable and stylish,stylish design/likeable and stylish,stylish,stylish
it is a good,good,good,,
clean design,clean design/clean/design,clean design,clean,clean
looking great,looking great/looking/great,looking great,,
Boring,boring,boring,,
Very vibrant and colorful,colorful/vibrant and colorful/vibrant,vibrant and colorful,vibrant,vibrant
it looks cool,looks cool/cool/looks,looks cool,,
the design is just awesome,awesome/design,awesome/design,design,design
I like it less than the last one,last one/one/like/less/last,last one/like/less,last,last
Bold striking and classy,bold striking/bold/classy/striking and classy/striking,bold striking/striking and classy,bold,bold
nice,nice,nice,,
"I like it, it looks enticing and makes me want to learn more.",looks enticing/like/looks/enticing/makes,looks enticing/like/makes,,
Like it,like,like,,
This is amazing i guess,guess/amazing,guess/amazing,,
Meh.,meh,meh,,
Very nice,nice,nice,,
Good,good,good,,
Looks like X-Files,files/looks like/looks/like,files/looks like,-,-
Looks good,looks good/looks/good,looks good,,
I like it,like,like,,
It?s OK. The design is nice.,nice/design/design is nice,design is nice,design,design
I like the lines going every which way.,lines going every/lines going/going every/way/every which way,lines going every/every which way,lines,lines
I like the color,color/like the color/like,like the color,,
Casual,casual,casual,,
Like the design of the city card,like the design/city card/like/card/design,like the design/city card,city,city
Not impressed,impressed,impressed,,
UGLY,ugly,ugly,,
Now it's green.,green,green,,
well,well,well,,
i like the blue design better but this one is ok also,blue design better/blue design/design better/also/like,blue design better/also/like,blue,blue
Super,super,super,,
The text looks good. Uncomplicated.,text looks good/looks good/text looks/uncomplicated/good,text looks good/uncomplicated,text,text
The truth is very well designed,well designed/designed/truth/well,well designed/truth,,
The design looks amazing,design looks amazing/looks amazing/design looks/amazing/design,design looks amazing,design,design
I like this design so much its very unique quality looking,unique quality looking/quality looking/unique quality/looking/like,unique quality looking/like,unique,unique
"It really shocked me. The design with the lines, color all was excellent. Would make me proud to have this",really shocked/really/shocked/would make/lines,really shocked/would make/lines,lines/design,lines/design
"It's ok, I dont like the color green\  nothing spectacular",color/nothing spectacular/nothing/spectacular/like,color/nothing spectacular/like,green\/color,green\/color
Very boring,boring,boring,,
I think I prefer this to the former though they are both premium-looking cards. They are both cards I will be happy to show off.,former though/looking cards/premium/looking/cards,former though/looking cards/premium,premium/former,premium/former
This is a very good design,good design/design/good,good design,good,good
Pretty,pretty,pretty,,
Very nice,nice,nice,,
Ok,None,None,,
it is ok,None,None,,
I like,like,like,,
Looks rich,looks rich/looks/rich,looks rich,,
Modern,modern,modern,,
Its a cool design really like the green and black combination,cool design really/design really like/black combination/cool design/design really,cool design really/design really like/black combination,cool design,cool design
Great,great,great,,
I like it,like,like,,
kind of boring looking,boring looking/kind/looking/kind of boring/boring,boring looking/kind of boring,,
Brighter,brighter,brighter,,
I like it,like,like,,
very appeling,appeling,appeling,,
It?s very nice and creative,creative/nice and creative/nice,nice and creative,nice,nice
Botring,botring,botring,,
this design is unique and good.,good/unique and good/design/unique/design is unique,unique and good/design is unique,design,design
Like it,like,like,,
Very unique design and innovative look.,innovative look/unique design/look/unique/design,innovative look/unique design,unique design,unique design
It's ok,None,None,,
Look ok,look,look,,
A little less busy,little less busy/less busy/little less/busy/little,little less busy,,
Don?t like it,like,like,,
Biring,biring,biring,,
It looks like a card would be filled with premium opportunities and rewards,looks like/card would/premium opportunities/rewards/opportunities and rewards,looks like/card would/premium opportunities/opportunities and rewards,premium opportunities,premium opportunities
Not a fan,fan,fan,,
It?s different from any of my others!!,different/others,different/others,different,different
Good,good,good,,
It?s ok,None,None,,
Ugly,ugly,ugly,,
Like the piping and colored edges. Nice lok.,colored edges/like/edges/nice lok/like the piping,colored edges/nice lok/like the piping,nice lok,nice lok
Looks pretty cool,looks pretty cool/looks pretty/pretty cool/looks/cool,looks pretty cool,,
A little more colorful but still bori g,still bori/little/colorful/still/bori,still bori/little/colorful,colorful,colorful
It looks pretty cool. I would like a different color,looks pretty cool/pretty cool/looks pretty/cool/looks,looks pretty cool,different,different
I try it,try,try,,
Don't  kike it,kike,kike,,
Cool,cool,cool,,
Its futuristic and slikand lookz masculine,slikand lookz masculine/lookz masculine/slikand lookz/masculine/futuristic,slikand lookz masculine/futuristic,slikand lookz,slikand lookz
Same as the last one I don?t like the circle design,circle design/last one/like/design/like the circle,circle design/last one/like the circle,last one,last one
"Clean, simple, efficient",clean/simple/efficient,clean/simple/efficient,clean,clean
Different,different,different,,
No real reaction,real reaction/reaction/real,real reaction,real,real
It looks high tech and futuristic,looks high tech/looks high/high tech/futuristic/tech and futuristic,looks high tech/tech and futuristic,high,high
"I like the side strip, prefer more blue",side strip/strip/prefer/blue/prefer more blue,side strip/prefer more blue,side,side
Cool,cool,cool,,
It looks okay not a lot of flare,looks okay/flare/lot of flare/looks/okay,looks okay/lot of flare,lot,lot
Sleek,sleek,sleek,,
Hohum,hohum,hohum,,
Nice colors,nice colors/nice/colors,nice colors,nice,nice
Color changes help overall.  It would be easy to find in my purse,color changes help/changes help overall/color changes/help overall/changes help,color changes help/changes help overall,color changes,color changes
fine,fine,fine,,
"It's eyecatching to me, different",different/eyecatching,different/eyecatching,,
Like,like,like,,
Cool,cool,cool,,
This desing is very good.,good/desing,good/desing,desing,desing
its cool looking and i like the color on the edges of the card,cool looking/cool/looking/like the color/card,cool looking/like the color/card,cool looking,cool looking
Good,good,good,,
My initial reaction to this design is great I like it alot,initial reaction/great/design is great/initial/reaction,initial reaction/design is great,initial reaction,initial reaction
Isn't it the same card as before,card,card,same,same
Positive. Not sure if I like the color.,positive/color/sure/like/like the color,positive/sure/like the color,positive,positive
Dizzy,dizzy,dizzy,,
simple,simple,simple,,
Sleek and designed,sleek/designed/sleek and designed,sleek and designed,,
Ok. Again not worthy considering a card because if design,design/worthy/considering/card/worthy considering,design/card/worthy considering,worthy,worthy
Looks good,looks good/looks/good,looks good,,
I love ite,love ite/ite/love,love ite,,
Boring,boring,boring,,
Nice futuristic and also expensive,nice futuristic/also expensive/nice/expensive/futuristic,nice futuristic/also expensive,nice,nice
Nice design.,nice design/nice/design,nice design,nice,nice
Ok design,design,design,,
I love the design and look of the credit card,credit card/card/love/design/look,credit card/love/design/look,credit card,credit card
Kind of dark,kind/dark/kind of dark,kind of dark,,
Looks awesome,looks awesome/looks/awesome,looks awesome,,
"It looks different then other cards, would be easy to tell The difference in my wallet",looks different/cards/would/wallet/would be easy,looks different/cards/wallet/would be easy,other cards/different,other cards/different
i dont know  i dont know  i dont know  i dont know  i dont know  i dont know,know,know,,
It is eye catching without being obnoxious.,eye catching without/eye catching/catching without/obnoxious/without being obnoxious,eye catching without/without being obnoxious,eye,eye
ok,None,None,,
"Looks very technology advanced. But the green color looks odd for Citi, which is mostly associated with blue?",technology advanced/advanced/citi/looks/technology,technology advanced/citi/looks,green color/technology,green color/technology
No reaction,reaction,reaction,,
Better den da lsst,better den/better/lsst/den da lsst/den,better den/den da lsst,den da,den da
Mixed. I don't care for the dark green color but the silver touches and the light green partial oval are nice,mixed/dark green color/green/dark green/green color,mixed/dark green color,green partial oval/dark green,green partial oval/dark green
"Without knowing what the guidelines are for the card, it is simply a card. No more and no less.",without knowing/card/without/knowing/guidelines,without knowing/card/guidelines,guidelines,guidelines
I like it,like,like,,
Unique,unique,unique,,
I like the color,color/like the color/like,like the color,,
Wow! This is beautiful. I love this design extremely well,wow/design extremely well/extremely well/beautiful/well,wow/design extremely well/beautiful,beautiful,beautiful
I like the color. Attractive to the eye. Tap option available and memory chip,color/like the color/like/tap option available/tap option,like the color/tap option available,tap option/memory chip,tap option/memory chip
I like it,like,like,,
It looks 3D because of the light green against the dark green.,light green/dark green/green/looks/light,light green/dark green/looks,light green/green,light green
Blah,blah,blah,,
Isn?t that the same one never mind it?s ugly okay.,one never mind/never mind/one never/mind/ugly okay,one never mind/ugly okay,same one,same one
i  feel  nice,feel/nice,feel/nice,,
"It really is an attractive, rich looking card",rich looking card/rich looking/looking card/attractive/rich,rich looking card/attractive,rich looking,rich looking
Love the design,love/design/love the design,love the design,,
It looks stylish,looks stylish/stylish/looks,looks stylish,,
Same as before,None,None,,
Nice,nice,nice,,
Looks modern,looks modern/looks/modern,looks modern,,
I don't know,know,know,,
It looks good,looks good/good/looks,looks good,,
Looks modern and sleek,looks modern/looks/sleek/modern and sleek/modern,looks modern/modern and sleek,modern,modern
"Looks the same as the previous, bland",bland/looks/previous,bland/looks/previous,same,same
it's very green. lit's fine,lit/fine/green,lit/fine/green,green,green
Quality best product because I enjoy happy,quality best product/quality best/enjoy happy/best product/quality,quality best product/enjoy happy,quality best,quality best
It?s a little better. At least some color was added.,little better/better/little/added/least,little better/added/least,better,better
Very cool,cool,cool,,
it is best,best,best,,
Great design,great design/great/design,great design,great,great
None,none,none,,
"Don?t like it, hurts my eyes",like/hurts/eyes/hurts my eyes,like/hurts my eyes,don?t,don?t
Nice,nice,nice,,
plain and simple,plain/simple/plain and simple,plain and simple,plain,plain
I really like it. I think the color combination really works well and the overall design looks modern.,really like/design looks modern/really/like/color combination really,really like/design looks modern/color combination really,color combination,color combination
It looks modern and appealing.,looks modern/appealing/modern and appealing/looks/modern,looks modern/modern and appealing,modern,modern
very eye catchy but this one is a bit off. the colors are not vibrating,eye catchy/catchy/eye/vibrating/one,eye catchy/vibrating/one,eye catchy,eye catchy
"I like it, the colors are striking the combination of the different greens is attractive, I like the identification and the logo of the bank that is prestigious",striking the combination/different greens/like the identification/like/attractive,striking the combination/different greens/like the identification/attractive,different greens/combination/colors,different greens/combination/colors
I like the design a lot,lot/like/design/like the design,lot/like the design,design,design
i really like the design,really like/design/like the design/really/like,really like/like the design,,
dark color,dark color/dark/color,dark color,dark,dark
Best,best,best,,
The color changed,color changed/changed/color,color changed,,
It's very unique and I love the color,color/love the color/unique/love,love the color/unique,unique,unique
It's cool and eye catching,eye catching/cool/catching/cool and eye/eye,eye catching/cool and eye,cool,cool
Very smart,smart,smart,,
It?s plain and simple,plain/simple/plain and simple,plain and simple,plain,plain
Color of arch and edge of the card changed to green.,card changed/color/green/color of arch/changed to green,card changed/color of arch/changed to green,arch/color,arch/color
Okay,okay,okay,,
Boring,boring,boring,,
Like the green on green.,like/green/like the green/green on green,like the green/green on green,,
I little better,little better/better/little,little better,,
I think it?s a cool card. I like the colors,cool card/think/card/cool/colors,cool card/think/colors,cool card,cool card
It is quite unique.,quite unique/unique/quite,quite unique,,
nice,nice,nice,,
good design,good design/good/design,good design,good,good
no,None,None,,
"Blah, bland, executive",blah/bland/executive,blah/bland/executive,bland,bland
it looks awesome and unique,looks awesome/unique/awesome and unique/looks/awesome,looks awesome/awesome and unique,awesome,awesome
"It's ok for me, looking good",looking good/looking/good,looking good,ok,ok
Its very beautiful design so i like it.,beautiful design/design/beautiful/like,beautiful design/like,beautiful,beautiful
"Very modern and sleek looking, futuristic.",futuristic/sleek looking/looking/modern/sleek,futuristic/sleek looking/modern,modern,modern
it is beautiful and attractive,attractive/beautiful and attractive/beautiful,beautiful and attractive,beautiful,beautiful
I don?t really know,really know/really/know,really know,,
I really like it it?s sleek and the green was a good choice classy,really like/really/like/choice classy/sleek,really like/choice classy/sleek,choice/sleek/it?s,choice/sleek/it?s
great,great,great,,
ufu646y,ufu646y,ufu646y,,
It?s pretty,pretty,pretty,,
I like the dedsign,dedsign/like the dedsign/like,like the dedsign,,
good,good,good,,
the design of the card is very bright and vivid. it stands out a lot to me,vivid/bright and vivid/design/card/bright,bright and vivid/design/card,card/design,card/design
It looks beautiful,looks beautiful/beautiful/looks,looks beautiful,,
Well Fargo best card nice amazing,well fargo best/fargo best card/card nice amazing/well fargo/best card nice,well fargo best/fargo best card/card nice amazing/best card nice,nice/best,nice/best
"Great design,catchy",great design/catchy/great/design,great design/catchy,great,great
Love the design,love/design/love the design,love the design,,
Excellent,excellent,excellent,,
Sleek and modern,sleek/modern/sleek and modern,sleek and modern,sleek,sleek
"is good, i like",good/like,good/like,,
Looks trendy and a bit modern. Stands out from the crowd,looks trendy/bit modern/looks/modern/trendy,looks trendy/bit modern,bit modern,bit modern
I like it. I like the color. It?s modern and sleek.,like/color/modern/sleek/like the color,modern/sleek/like the color,it?s modern,it?s modern
"I have no particular  reaction , as for me a credit card is just that, not a statement of my personality or art choices.  I mean who cares really?",art choices/credit card/reaction/particular/choices,art choices/credit card/reaction/particular,art choices/credit card,art choices/credit card
I like the blue better,blue better/better/like/blue/like the blue,blue better/like the blue,,
this design is very like,like/design,like/design,design,design
I like the design. The colored edge is also nice,design/like the design/also nice/like/colored edge,like the design/also nice/colored edge,colored edge,colored edge
Looks tech-y,looks tech/looks/tech,looks tech,tech,tech
Nice simple design,nice simple design/nice simple/simple design/nice/design,nice simple design,simple,simple
"Again, the design, color, it does nothing for me.     I like prestigious looks. Gold. Silver. Diamond.    Patriotic. Would get me excited like the American flag.    In God We Truat would gey me excited too.",color/design/nothing/prestigious looks/like,color/design/nothing/prestigious looks/like,american flag/prestigious looks/color/design,american flag/prestigious looks/color/design
Cute. Modern. Simple.,cute/modern/simple,cute/modern/simple,cute,cute
I like the design but don?t exactly like the piping/arc coloring,arc coloring/exactly like/like/design/exactly,arc coloring/exactly like/design,arc coloring,arc coloring
Cool,cool,cool,,
It?s hood to hsbr,hood/hsbr/hood to hsbr,hood to hsbr,,
Green better than the blue,green better/green/blue/better,green better/blue,green,green
Almost good.,almost good/almost/good,almost good,,
It like other cards I have,like/cards/like other cards,like other cards,other,other
Looks pretty sleek and sharp,looks pretty sleek/looks pretty/pretty sleek/looks/sharp,looks pretty sleek/sharp,sleek,sleek
No comment,comment,comment,,
first card is very likeable,first card/first/likeable/card,first card/likeable,first,first
Looks futuristic,looks futuristic/looks/futuristic,looks futuristic,,
"Sleek, interesting, attractive",sleek/interesting/attractive,sleek/interesting/attractive,sleek,sleek
very good,good,good,,
Very nice. Classy,classy/nice,classy/nice,nice,nice
it seems like a regular card just a nice design,nice design/seems like/regular card/design/seems,nice design/seems like/regular card,regular card,regular card
weird design does not tell me what benefits it has,weird design/weird/design/tell/benefits,weird design/tell/benefits,weird,weird
good design,good design/good/design,good design,good,good
also nice card,also nice card/also nice/nice card/also/card,also nice card,nice,nice
i think it is very appealing to me,think/appealing,think/appealing,,
sleek. cool,sleek/cool,sleek/cool,sleek,sleek
It looks good and would be easy to distinguish in my wallett,looks good/wallett/looks/good/would,looks good/wallett/would,good,good
sleek and simple,sleek/simple/sleek and simple,sleek and simple,sleek,sleek
I really like this design.  I like how the green color stands out and how the logo is in the center of the card.,really like/green color stands/design/like/really,really like/green color stands/design,green color/design,green color/design
computer tech,computer tech/computer/tech,computer tech,computer,computer
The green arc and border is more harmonious to the overall design.,overall design/green arc/design/green/arc,overall design/green arc,green arc/overall,green arc/overall
this is very good.,good,good,,
Reminds me of cash.  Very bright cash.,cash/reminds/bright cash/bright,reminds/bright cash,cash,cash
it is good,good,good,,
Looks different. It looks very busy.,looks different/different/looks/busy/looks very busy,looks different/looks very busy,different,different
None,none,none,,
Green is better than the silver/blue card,blue card/green/silver/blue/card,blue card/green/silver,blue card,blue card
Clean,clean,clean,,
It is a little more distinctive than the previous design.,previous design/design/little/distinctive/previous,previous design/little/distinctive,previous,previous
attractive.,attractive,attractive,,
Looks hi tech,looks/tech/looks hi tech,looks hi tech,hi,hi
Better than the other design.  I like the green arc better.,design/better/green arc better/arc better/green arc,design/green arc better,other design,other design
Pretty green,pretty green/pretty/green,pretty green,,
Not too bad looking,bad looking/looking/bad,bad looking,,
Love it,love,love,,
"Nice design, modern",nice design/modern/nice/design,nice design/modern,nice,nice
Nice,nice,nice,,
I love,love,love,,
I like the bright edge of the card,bright edge/card/like/bright/edge,bright edge/card/like,bright,bright
Fine,fine,fine,,
the green is cool but still think the background is still to busy,still think/busy/still/green/cool,still think/busy/green/cool,cool/green,cool/green
modern and cool,modern/cool/modern and cool,modern and cool,modern,modern
Nice,nice,nice,,
it is very good,good,good,,
It looks modern,looks modern/modern/looks,looks modern,,
really cool looking card,really cool looking/cool looking card/really cool/looking card/cool looking,really cool looking/cool looking card,looking,looking
It looks okay,looks okay/okay/looks,looks okay,,
Nice design,nice design/nice/design,nice design,nice,nice
very likely,likely,likely,,
I like it very much,much/like,much/like,,
it is easy to notice,notice/easy to notice/easy,easy to notice,,
It's a card,card,card,,
A  little more interesting than first choice,first choice/little/choice/little more interesting/interesting,first choice/little more interesting,first choice,first choice
Green for go?,green,green,green,green
Brighter then the last card but I still don't really like the design of this card. Looks to plain.,last card/card/brighter/last/really like,last card/brighter/really like,last card/card,last card
i think it is a great design and unique one and very unique and relevant and appealing .,design and unique/unique one/unique and relevant/great design/unique,design and unique/unique one/unique and relevant/great design,great design/unique,great design/unique
Same,None,None,,
Don?t like it,like,like,,
Nice design,nice design/nice/design,nice design,nice,nice
Plain,plain,plain,,
"Positive, bright, welcoming, energetic.",positive/bright/welcoming/energetic,positive/bright/welcoming/energetic,bright/positive,bright/positive
"clean design, easy to read name and know the bank",clean design/read name/clean/design/easy,clean design/read name/easy,clean design,clean design
"Bold, stylish, colourful and vibrant",bold/stylish/colourful/vibrant/colourful and vibrant,bold/stylish/colourful and vibrant,stylish/bold,stylish/bold
Plain but nice,plain/nice/plain but nice,plain but nice,plain,plain
It?s interesting and attractive,interesting/attractive/interesting and attractive,interesting and attractive,interesting,interesting
Citibank,citibank,citibank,,
i like it,like,like,,
Looks pretty modern and sleek.,looks pretty modern/looks pretty/pretty modern/looks/sleek,looks pretty modern/sleek,modern,modern
it is a stylish design and is appealing,stylish design/appealing/stylish/design,stylish design/appealing,stylish,stylish
A high-tech look,tech look/high/tech/look,tech look/high,tech,tech
Nice looking card - cool color and pattern,nice looking card/nice looking/looking card/cool color/nice,nice looking card/cool color,cool color/looking,cool color/looking
I don?t like the color,like/color/like the color,like the color,,
Very different that most credit cards I own in terms of design.,credit cards/design/terms of design/different/credit,credit cards/terms of design/different,most credit cards,most credit cards
wonderfull,wonderfull,wonderfull,,
It is a beautiful design,beautiful design/design/beautiful,beautiful design,beautiful,beautiful
It doesn't seem a great deal different from the previous card.,great deal different/previous card/great deal/deal different/seem,great deal different/previous card/seem,deal/previous,deal/previous
"uncluttered, easy to identify, no visible account # is a good thing",uncluttered/visible account/good thing/easy/identify,uncluttered/visible account/good thing/easy/identify,visible account/good,visible account/good
i love the green,green/love the green/love,love the green,,
I like it. It's artistic,artistic/like,artistic/like,,
looks like it should be for td,looks like/looks/like,looks like,,
Looks cool,looks cool/looks/cool,looks cool,,
Very Extremely Good,extremely good/good/extremely,extremely good,,
It looks just about the same,looks,looks,,
"I like it.  Modern without being intimidating, and uncluttered. I like the green semicircle and piping better than the blue.",like/modern without/modern/intimidating/uncluttered,like/modern without/intimidating/uncluttered,green semicircle/modern,green semicircle/modern
Boring,boring,boring,,
It looks very interesting but I prefer to know about the capabilities,capabilities/looks/interesting/prefer/know,capabilities/looks/interesting/prefer/know,interesting,interesting
Same as last one,last one/one/last,last one,last,last
Beautiful,beautiful,beautiful,,
I like it - it is very clean and precise and I like the green color,like/precise/color/green color/clean,like/precise/green color/clean,green color,green color
Very good,good,good,,
Like it but not as much as the previous one,previous one/like/one/much/previous,previous one/like/much,previous,previous
modern looking  like it,modern looking/modern/looking/like,modern looking/like,,
Nothing Great,nothing great/great/nothing,nothing great,,
very modern high quality looking card,quality looking card/modern high quality/high quality looking/looking card/modern high,quality looking card/modern high quality/high quality looking,modern high,modern high
Nice,nice,nice,,
Like it. Looks sleek. Reminds me of money and futuristic,like/looks sleek/looks/sleek/reminds,like/looks sleek/reminds,sleek,sleek
the green color looks better,color looks better/green color looks/looks better/green color/color looks,color looks better/green color looks,green,green
i like this even better than the previous one. the shade of green used in the arc is more appealing than the blue.,previous one/even better/one/green used/like,previous one/even better/green used/like,green/shade/previous,green/shade/previous
I like the colors better,colors better/better/like/colors/like the colors,colors better/like the colors,,
The card is a beautiful green. Very different from what I am used to. I like the different shades of green.,beautiful green/green/card/beautiful/different,beautiful green/card/different,beautiful green/green,beautiful green
It' OK.,None,None,,
It's a little boring,little boring/boring/little,little boring,little,little
Looks modern and sleek. It looks different from all other credit cards.,looks modern/sleek/looks/modern and sleek/modern,looks modern/modern and sleek,other credit cards,other credit cards
I like this like the other card except the first card is better with the arc being blue instead of green.  Still it is very unique and attractive.,card except/first card/card/like/like this like,card except/first card/like this like,first card/other card/better,first card/other card/better
I like it although I'd prefer more green.,prefer/green/prefer more green/like/although,prefer more green/like/although,,
It's similar to the other and is attractive,similar/attractive,similar/attractive,similar,similar
Wow it looks familiar,looks familiar/wow/familiar/wow it looks/looks,looks familiar/wow it looks,,
I like the design.,design/like the design/like,like the design,,
That the credit card is from Citi bank,citi bank/credit card/citi/bank/credit,citi bank/credit card,credit card,credit card
None,none,none,,
nice-looking card,looking card/nice/looking/card,looking card/nice,looking,looking
Design of the cards is very attractive. I like it very much.,design/attractive/cards/much/like,design/attractive/cards/much/like,design,design
"The design is 'cold', impersonal.",cold/impersonal/design,cold/impersonal/design,design,design
attractive card,attractive card/attractive/card,attractive card,attractive,attractive
Fairly clean,fairly clean/fairly/clean,fairly clean,,
I like it.  Love the colors and the simplicity.,love the colors/like/love/simplicity/colors,love the colors/like/simplicity,colors,colors
Cool,cool,cool,,
it looks techno but too colorful,looks techno/colorful/looks/techno,looks techno/colorful,techno,techno
like it,like,like,,
Cool,cool,cool,,
it looks modern and the lime green color stands out,lime green color/green color stands/looks modern/lime green/green color,lime green color/green color stands/looks modern,lime green,lime green
i love the green color,green color/color/love/green/love the green,green color/love the green,green,green
It is an okay design.,okay design/design/okay,okay design,okay,okay
It looks nice,looks nice/nice/looks,looks nice,,
It?s simple,simple,simple,,
"green umbrella this time, should be red",green umbrella/green/time/red/umbrella this time,green umbrella/red/umbrella this time,green umbrella,green umbrella
I like it. The color is striking,like/striking/color/color is striking,like/color is striking,,
pretty,pretty,pretty,,
"For so many, great change-making design ideas seem elusive. Just how does one find that initial spark that launches an entire project around a game-cha",making design ideas/ideas seem elusive/design ideas seem/great change/making design,making design ideas/ideas seem elusive/design ideas seem/great change,initial spark/design ideas/great change,initial spark/design ideas/great change
very good,good,good,,
Looks modern and simple to use,looks modern/looks/use/simple to use/modern,looks modern/simple to use,modern,modern
cool,cool,cool,,
Looks neat,looks neat/looks/neat,looks neat,,
I think it looks really good,looks really good/really good/looks really/good/think,looks really good/think,,
Nice colors and design,nice colors/nice/design/colors and design/colors,nice colors/colors and design,nice,nice
I like it. The design and color choice are great. Very modern,like/great/modern/design/color,like/great/modern/design/color,color choice,color choice
I think that it is designed very unique it's very appealing and it's very different from any I've seen so far,unique/designed very unique/think/designed/appealing,designed very unique/think/appealing,unique,unique
It?s ok but I don?t know,know,know,,
It was interest because i compared it to the cards in my wallet and none look like that,none look like/none look/look like/interest/compared,none look like/interest/compared,cards/interest,cards/interest
I like the green hinted color with symmetrical lines,green hinted color/symmetrical lines/green hinted/hinted color/lines,green hinted color/symmetrical lines,symmetrical lines,symmetrical lines
Sleek,sleek,sleek,,
"colorful, had name, had chip",colorful/name/chip,colorful/name/chip,colorful,colorful
I like it but I don't see the difference between this one and the last one,like/one/see/last one/difference,like/see/last one/difference,one,one
plain,plain,plain,,
green arc looks weird,green arc looks/arc looks weird/green arc/looks weird/arc looks,green arc looks/arc looks weird,green,green
Better coloring,better coloring/better/coloring,better coloring,better,better
looks good to me,looks good/looks/good,looks good,,
average and uninteresting.  does not stand out from other cards.  Not colors I assiciate with Citi (blue),average/uninteresting/average and uninteresting/blue/citi,average and uninteresting/blue/citi,other cards/average,other cards/average
It is a little too bright.,bright/little too bright/little,little too bright,little,little
It is different but not exciting.,exciting/different,exciting/different,different,different
i really love it green stands out perfect,really love/green stands/perfect/stands out perfect/really,really love/green stands/stands out perfect,green,green
"Fresh, clean, modern, I happen to like the color green and it looks good on the dark background.",dark background/color green/looks good/fresh/clean,dark background/color green/looks good/fresh/clean,dark background/color green,dark background/color green
it seems kind of generic and bland to me,seems kind/seems/kind/generic/bland,seems kind/generic/bland,generic,generic
very nice,nice,nice,,
Modern,modern,modern,,
cool,cool,cool,,
"Fine, but nothing very special",fine/special/nothing very special/nothing,fine/nothing very special,fine,fine
Awesome,awesome,awesome,,
Sleek design,sleek design/sleek/design,sleek design,sleek,sleek
It looks premium and ultra modern,ultra modern/looks premium/modern/looks/premium,ultra modern/looks premium,ultra,ultra
Cool color,cool color/cool/color,cool color,cool,cool
It is different looking.,different looking/looking/different,different looking,,
The design of the card is premium.,premium/card is premium/design/card,card is premium/design,design,design
